record_id,record_type,document_group,field_name,expected_value,generated_value
D00001,type_a,group_a,primary_date,12/11/2024,12/11/2024
D00001,type_a,group_a,amount_value,"2,670,649",2670649
D00001,type_a,group_a,completion_date,15/11/2024,11/15/2024
D00001,type_a,group_a,end_date,08/09/2027,08/09/2027
D00001,type_a,group_a,category_code,CODE_C,CODE_C
D00001,type_a,group_a,type_aondary_date,29/11/2024,29/11/2024
D00001,type_a,group_a,start_date,19/10/2024,19/10/2024
D00001,type_a,group_a,effective_date,16/11/2024,16/11/2024
D00001,type_a,group_a,rate_value,2.3814%,2.3814%
D00001,type_a,group_a,rate_frequency,periodic_s,periodic_s
D00001,type_a,group_a,rule_type,rule_basis_a,3O/36O
D00001,type_a,group_a,adjustment_rule,adjusted_prev,adjusted_prev
D00001,type_a,group_a,reference_code,REF_A,REF_A
D00001,type_a,group_a,delta_value,142.13,142.13
D00001,type_a,group_a,value_type,variable,variable
D00001,type_a,group_a,price_value,106.56 CODE_C,106.56 CODE_C
D00001,type_a,group_a,derived_amount,,NO_DATA_FOUND
D00001,type_a,group_a,total_value,"2,845,935.86","2,845,935.86"
D00001,type_a,group_a,direction_label,inbound,inbound
D00001,type_a,group_a,entity_name,Entity Alpha LLC,Entity Alpha LLC
D00002,type_b,group_c,primary_date,08/01/2024,01/08/2024
D00002,type_b,group_c,amount_value,"1,517,395.13","1,517,395.13"
D00002,type_b,group_c,completion_date,11/01/2024,11/01/2024
D00002,type_b,group_c,end_date,26/09/2027,26/9/2027
D00002,type_b,group_c,category_code,CODE_A,code_a
D00002,type_b,group_c,type_aondary_date,03/03/2024,03/03/2024
D00002,type_b,group_c,start_date,28/9/2023,28/9/2023
D00002,type_b,group_c,effective_date,08/01/2024,8/1/2024
D00002,type_b,group_c,rate_value,2.6495%,2.6495%
D00002,type_b,group_c,rate_frequency,periodic_q,periodic_m
D00002,type_b,group_c,rule_type,NULL,N/A
D00002,type_b,group_c,adjustment_rule,adjusted_next,adjusted_next
D00002,type_b,group_c,reference_code,REF_B,unknown
D00002,type_b,group_c,delta_value,247.71,247.71
D00002,type_b,group_c,value_type,variable,static
D00002,type_b,group_c,price_value,92.69,92.69
D00002,type_b,group_c,derived_amount,CODE_A 0.11,BAD_VALUE
D00002,type_b,group_c,total_value,"CODE_A 1,406,478.77",CODE_A 1406478.77
D00002,type_b,group_c,direction_label,NO_DATA_FOUND,N/A
D00002,type_b,group_c,entity_name,Morgan Stanley,morgan stanley
D00003,type_b,group_a,primary_date,25/07/2024,25/07/2024
D00003,type_b,group_a,amount_value,"823,543","823,543"
D00003,type_b,group_a,completion_date,26/07/2024,26/07/2024
D00003,type_b,group_a,end_date,23/11/2033,23/11/2033
D00003,type_b,group_a,category_code,CODE_A,CODE_A
D00003,type_b,group_a,type_aondary_date,14/09/2024,14/9/2024
D00003,type_b,group_a,start_date,14/07/2024,14/7/2024
D00003,type_b,group_a,effective_date,27/07/2024,27/07/2024
D00003,type_b,group_a,rate_value,4.2049%,4.2049%
D00003,type_b,group_a,rate_frequency,periodic_m,periodic_m
D00003,type_b,group_a,rule_type,ACT/365,ACT/365
D00003,type_b,group_a,adjustment_rule,following,following
D00003,type_b,group_a,reference_code,REF_A,ref_a
D00003,type_b,group_a,delta_value,102.47,102.47
D00003,type_b,group_a,value_type,variable,variable
D00003,type_b,group_a,price_value,,NO_DATA_FOUND
D00003,type_b,group_a,derived_amount,CODE_A 0.42,CODE_A 0.42
D00003,type_b,group_a,total_value,"$798,596.72",815880.0448
D00003,type_b,group_a,direction_label,outbound,outbound
D00003,type_b,group_a,entity_name,,
D00004,type_b,group_c,primary_date,08/08/2025,08/08/2025
D00004,type_b,group_c,amount_value,"2,266,430.80",2266430.80
D00004,type_b,group_c,completion_date,09/08/2025,09/08/2025
D00004,type_b,group_c,end_date,25/10/2033,25/10/2033
D00004,type_b,group_c,category_code,CODE_D,CODE_D
D00004,type_b,group_c,type_aondary_date,4/11/2025,4/11/2025
D00004,type_b,group_c,start_date,20/07/2025,20/07/2025
D00004,type_b,group_c,effective_date,,
D00004,type_b,group_c,rate_value,0.024252,0.024252
D00004,type_b,group_c,rate_frequency,periodic_s,periodic_s
D00004,type_b,group_c,rule_type,rule_basis_a,unknown
D00004,type_b,group_c,adjustment_rule,following,unknown
D00004,type_b,group_c,reference_code,REF_B,REF_B
D00004,type_b,group_c,delta_value,84.34,84.34
